"SubmissionID","finished","pause","scrubbed","unused","Recording","finished.p","pause.p","scrubbed.p","unused.p","project","course","sem","report"
2951,3,1,0,0,3,100,33,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2952,0,0,0,1,1,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2953,4,4,0,0,4,100,100,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2954,0,0,0,8,8,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2955,8,2,0,0,8,100,25,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2956,0,0,0,7,7,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2957,1,0,0,3,4,25,0,0,75,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2958,0,0,0,2,2,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2959,11,0,0,0,11,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2960,1,1,0,5,7,14,14,0,71,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2961,0,0,0,12,12,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2962,7,0,0,7,14,50,0,0,50,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2963,1,1,1,0,1,100,100,100,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2964,1,0,0,4,5,20,0,0,80,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2965,7,2,0,0,7,100,29,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2966,3,0,0,0,3,100,0,0,0,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2967,0,0,0,5,5,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2968,0,0,0,3,3,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2969,1,1,0,11,12,8,8,0,92,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2970,7,7,0,5,12,58,58,0,42,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
2972,0,0,0,6,6,0,0,0,100,"BIOL1040Sem1Report 1","BIOL1040","Sem1","Report 1"
