"StudentID","SubmissionID","MarkerID","Publish.Time","Intro","Hypoth","Methods","Results.text","Fig.Tables","Legend.Title","Disc.InterpFindings","Disc.IntegrateLit","Refs","Kn.PhysMechs","Kn.ExpApproach","W.Structure","W.LanguageJargon","W.GrammarSpelling","Final.Grade","project","course","sem","report"
"S8577287",3336,"T33","29/04/13 14:31",20,35,35,20,100,50,20,20,35,0,20,35,20,"20",26.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8536879",3337,"T30","29/04/13 14:31",50,100,65,65,100,100,50,35,35,35,50,50,50,"35",54.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8465383",3338,"T26","29/04/13 14:31",20,100,80,50,100,50,20,35,50,20,50,65,35,"35",45.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8456015",3339,"T26","29/04/13 14:31",50,100,100,80,80,100,35,50,100,50,50,80,65,"50",66.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8589447",3340,"T09","29/04/13 14:31",20,100,50,80,100,80,35,35,35,35,20,35,35,"65",46.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8570477",3341,"T30","29/04/13 14:30",65,100,65,50,100,50,65,65,65,65,50,65,65,"65",66.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8523503",3342,"T30","29/04/13 14:30",50,80,65,80,65,50,65,65,50,50,65,65,50,"65",60.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8581807",3343,"T09","29/04/13 14:30",20,65,35,20,100,80,20,35,35,0,20,65,20,"35",33,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8466385",3344,"T09","29/04/13 14:30",20,65,65,20,100,80,20,35,35,20,20,65,20,"35",39,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8583795",3345,"T26","29/04/13 14:30",65,100,80,65,100,80,65,65,65,80,80,80,35,"35",71.5,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8567033",3346,"T33","29/04/13 14:30",35,80,35,50,20,35,35,35,20,35,35,35,35,"50",37.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578943",3347,"T30","29/04/13 14:30",50,80,65,100,80,80,50,50,80,50,65,65,65,"50",62.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8532807",3348,"T26","29/04/13 14:30",80,100,80,0,65,65,35,50,65,50,65,65,50,"50",58.25,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8580193",3350,"T09","29/04/13 14:30",20,65,65,20,80,65,50,35,50,35,35,80,20,"35",44.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8586901",3351,"T32","29/04/13 14:30",65,100,35,65,100,80,50,80,80,65,80,100,80,"100",72,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579853",3352,"T30","29/04/13 14:30",65,100,65,65,80,50,65,50,65,50,65,65,65,"100",64.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8585105",3353,"T26","29/04/13 14:30",65,80,80,65,100,65,50,50,35,50,35,65,65,"65",60.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8578527",3354,"T32","29/04/13 14:30",50,65,65,50,80,65,35,35,20,35,50,80,65,"65",50.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8579953",3355,"T33","29/04/13 14:30",80,100,50,50,80,65,100,80,100,100,80,100,100,"100",84.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
"S8401995",3356,"T09","29/04/13 14:30",20,35,65,65,80,100,0,35,35,35,35,65,65,"50",43.75,"BIOM2011Sem1Report 1","BIOM2011","Sem1","Report 1"
