"SubmissionID","marking.sec","Text","Drawing","Recording","project","course","sem","report","marking.min"
1929,872,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.53
1779,2257,68,22,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",37.62
1780,1189,18,6,76,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.82
1781,640,77,15,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",10.67
1782,588,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.8
1783,1345,80,15,5,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",22.42
1784,1098,79,21,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",18.3
1785,989,41,0,59,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",16.48
1786,720,8,0,92,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12
1928,860,67,22,11,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",14.33
1788,1146,42,38,21,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",19.1
1789,1471,31,0,69,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",24.52
1790,716,100,0,0,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.93
1791,518,20,10,70,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",8.63
1793,3450,35,58,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",57.5
1795,3478,84,4,12,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",57.97
1796,547,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",9.12
1934,825,83,8,8,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",13.75
1798,689,17,25,58,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",11.48
1800,211,0,0,100,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",3.52
1801,745,89,6,6,"BIOL1040Sem1Report 0","BIOL1040","Sem1","Report 0",12.42
