"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"566","S8642305",9429,"T03","11/10/13 9:08",100,100,100,100,80,100,80,100,80,100,100,100,NA,100,4422,"Yes"
"567","S8642331",9846,"T02","16/10/13 12:21",100,100,40,80,100,100,100,60,80,40,60,80,NA,80,4111,"Yes"
"569","S8642401",9498,"T10","7/10/13 21:33",100,100,80,100,80,100,60,60,80,80,60,80,NA,80,4316,"Yes"
"570","S8642417",10325,"T15","14/10/13 9:35",100,100,80,80,20,60,60,40,40,40,20,60,NA,60,4152,"Yes"
"571","S8642421",9436,"T03","15/10/13 17:27",100,100,100,100,80,80,100,60,60,60,100,80,NA,80,4261,"Yes"
"572","S8642451",9754,"T05","5/10/13 13:01",100,100,60,20,80,100,100,60,60,60,60,100,NA,80,4253,"Yes"
"573","S8642457",9209,"T03","11/10/13 9:08",100,100,100,80,100,100,100,100,100,100,100,100,NA,100,4314,"Yes"
"574","S8642477",8862,"T05","5/10/13 13:01",100,100,100,100,100,100,80,100,80,80,100,100,NA,100,4565,"Yes"
"575","S8642487",9321,"T02","16/10/13 12:21",100,100,100,100,80,100,100,100,100,100,100,100,NA,100,4138,"Yes"
"576","S8642511",9761,"T01","5/10/13 13:01",80,100,80,100,100,100,80,80,100,100,80,100,NA,100,4213,"Yes"
"577","S8642529",9295,"T15","7/10/13 21:33",60,40,40,80,80,100,100,80,60,80,100,80,NA,80,4666,"Yes"
"578","S8642537",9528,"T15","9/10/13 16:24",100,100,100,80,100,100,100,80,80,100,100,100,NA,100,4357,"Yes"
"579","S8642583",9255,"T04","16/10/13 0:29",100,100,40,60,80,100,100,80,80,100,80,60,NA,80,4555,"Yes"
"580","S8642593",9009,"T03","3/10/13 19:26",100,100,100,100,100,100,100,80,100,100,80,100,NA,100,4651,"Yes"
"581","S8642619",8938,"T01","3/10/13 12:01",100,100,80,100,100,100,100,100,100,100,100,100,NA,100,4736,"Yes"
"582","S8642657",9816,"T02","16/10/13 12:21",100,100,60,100,100,100,100,100,100,100,100,100,NA,100,4493,"Yes"
"583","S8642681",8864,"T15","6/10/13 22:02",100,100,100,80,100,100,100,80,60,80,60,80,NA,80,4686,"Yes"
"584","S8642723",9183,"T10","2/10/13 21:37",80,100,80,100,80,100,80,20,20,20,20,80,NA,40,4505,"No login"
"585","S8642799",9720,"T06","21/10/13 12:05",100,100,100,80,100,100,80,100,100,100,100,100,NA,100,2934,"Yes"
"586","S8642811",9102,"T02","5/10/13 13:01",100,100,100,100,100,100,60,80,80,100,60,100,NA,100,4590,"Yes"
"587","S8642813",9261,"T10","2/10/13 21:37",100,100,80,100,100,100,80,60,100,100,100,100,NA,100,4446,"Yes"
"588","S8642815",9086,"T05","5/10/13 13:01",80,100,60,20,100,100,60,80,60,80,60,100,NA,80,4647,"Yes"
"589","S8642831",9496,"T01","5/10/13 13:01",100,100,80,80,80,100,100,100,100,80,80,100,NA,100,4711,"Yes"
"590","S8642857",9386,"T04","16/10/13 0:29",80,100,80,100,100,100,100,80,80,100,20,60,NA,80,4321,"Yes"
"591","S8642865",9813,"T03","15/10/13 17:28",100,20,20,60,40,60,60,40,20,40,40,40,NA,40,4490,"Yes"
"592","S8642885",9216,"T01","7/10/13 21:33",80,100,60,100,100,100,100,80,100,100,60,80,NA,80,4497,"Yes"
"593","S8642895",9083,"T10","2/10/13 14:03",80,100,80,40,80,80,80,60,60,40,100,80,NA,80,4567,"Yes"
"594","S8642913",9351,"T06","18/10/13 8:08",100,100,80,80,40,100,60,80,80,80,100,100,NA,80,4750,"Yes"
"595","S8642917",9688,"T13","7/10/13 22:32",100,100,100,100,80,100,100,80,80,80,100,100,NA,100,4578,"Yes"
"596","S8642927",9442,"T06","18/10/13 8:08",100,100,100,80,100,100,100,100,80,80,100,100,NA,100,4174,"Yes"
"597","S8642935",9306,"T04","16/10/13 0:29",100,100,80,100,100,100,100,100,100,100,100,80,NA,100,4478,"Yes"
"598","S8642959",8897,"T13","5/10/13 13:01",80,100,100,80,80,100,80,60,60,60,100,80,NA,80,4374,"Yes"
"599","S8643005",9677,"T10","2/10/13 14:03",NA,100,100,100,100,100,100,60,80,80,100,100,NA,100,4339,"Yes"
"601","S8643071",9706,"T13","7/10/13 22:32",100,100,100,100,100,100,80,100,80,100,100,100,NA,100,4299,"Yes"
"602","S8643097",9184,"T13","7/10/13 21:33",100,60,60,80,100,100,80,80,100,80,60,80,NA,80,4751,"Yes"
"603","S8643111",10320,"T10","9/10/13 16:24",80,100,80,100,100,100,80,80,80,40,60,80,NA,80,4182,"Yes"
"604","S8643113",9520,"T06","18/10/13 8:08",100,100,60,80,80,100,40,100,100,80,100,100,NA,80,4752,"Yes"
"605","S8643135",8929,"T13","2/10/13 21:37",100,80,80,100,100,100,100,80,80,100,100,100,NA,100,4552,"Yes"
"606","S8643237",8877,"T02","5/10/13 13:01",100,100,60,80,100,100,60,60,80,100,60,100,NA,80,4484,"Yes"
"607","S8643287",9235,"T04","16/10/13 0:29",100,100,80,100,100,100,100,100,100,100,100,80,NA,100,4142,"Yes"
"608","S8643301",9064,"T01","3/10/13 12:01",80,100,80,80,100,100,100,80,80,100,80,60,NA,80,4626,"Yes"
"609","S8643311",9759,"T02","16/10/13 12:21",80,100,60,80,100,100,100,80,80,100,60,100,NA,80,4250,"Yes"
"610","S8643327",9085,"T13","5/10/13 13:01",80,100,80,80,80,100,80,80,80,60,20,80,NA,80,4382,"No login"
"611","S8643351",9783,"T02","16/10/13 12:21",80,100,60,80,100,100,100,100,100,100,100,100,NA,100,4287,"Yes"
"612","S8643405",9247,"T10","6/10/13 22:02",80,100,80,100,100,100,80,80,80,80,100,80,NA,80,4522,"Yes"
"613","S8643409",9012,"T01","3/10/13 12:01",100,100,80,100,100,80,80,80,80,100,100,100,NA,100,4440,"Yes"
"614","S8643415",8995,"T14","3/10/13 11:59",100,100,80,100,100,100,80,80,80,100,100,100,NA,100,4256,"Yes"
"615","S8643439",9753,"T04","16/10/13 12:21",100,100,80,100,80,100,100,80,80,80,100,80,NA,100,4694,"Yes"
"616","S8643451",9089,"T10","2/10/13 14:03",80,100,100,40,100,100,100,80,100,60,60,100,NA,80,4266,"Yes"
"617","S8643493",9326,"T05","5/10/13 13:01",100,100,60,100,100,100,100,100,100,100,100,100,NA,100,4228,"Yes"
"618","S8643505",9110,"T05","5/10/13 13:01",100,100,100,100,80,100,80,100,60,80,100,100,NA,100,4247,"Yes"
"619","S8643519",9784,"T13","7/10/13 22:32",100,100,100,80,100,100,80,100,80,100,100,100,NA,100,4635,"Yes"
"620","S8643535",9017,"T06","18/10/13 8:08",100,40,20,80,40,60,60,60,60,60,20,80,NA,60,4755,"Yes"
"621","S8643537",9423,"T06","21/10/13 12:05",100,100,40,80,80,100,60,80,80,80,100,100,NA,80,3043,"Yes"
"622","S8643545",9162,"T13","7/10/13 21:33",100,100,100,80,100,100,80,80,100,100,100,100,NA,100,4235,"Yes"
"623","S8643559",9486,"T10","7/10/13 21:33",80,100,80,100,100,100,60,80,80,60,100,80,NA,80,4260,"Yes"
