"","StudentID","SubmissionID","MarkerID","Publish.Time","Hypoth","Methods.writing","Methods.details","Methods.design","Results.text","Results.figures","Results.legends","Disc.knowlede","Disc.InterpFindings","Disc.Evidence","Refs","Writing","Comments","Final.Grade","UQM.ID","Consent"
"841","S8647159",8672,"T12","1/09/13 23:17",80,100,80,100,100,80,80,80,80,80,100,80,NA,80,4372,"Yes"
"842","S8647163",8147,"T03","15/09/13 15:07",100,100,100,100,100,100,80,80,100,100,100,100,NA,100,4510,"Yes"
"843","S8647175",8594,"T10","19/09/13 11:27",100,40,60,100,100,60,80,80,80,60,60,80,NA,80,4729,"Yes"
"844","S8647183",8133,"T15","17/09/13 2:49",80,100,80,80,100,80,100,100,100,100,100,100,NA,100,4523,"Yes"
"845","S8647195",8522,"T08","20/09/13 4:11",40,100,100,100,100,80,60,100,100,100,100,100,NA,100,4649,"Yes"
"846","S8647255",8313,"T13","18/09/13 13:26",80,100,100,80,100,100,80,80,80,60,100,80,NA,80,2867,"Yes"
"847","S8647263",8517,"T13","20/09/13 10:56",80,100,80,100,100,100,80,100,100,100,100,100,NA,100,4216,"Yes"
"848","S8647289",8240,"T10","16/09/13 14:07",100,100,60,40,80,100,80,80,80,80,100,80,NA,80,4148,"Yes"
"849","S8647311",7994,"T02","12/09/13 10:54",100,100,100,80,80,100,60,60,80,60,20,80,NA,80,4203,"Yes"
"850","S8647321",8369,"T03","15/09/13 15:07",100,100,80,100,100,80,100,100,100,100,80,100,NA,100,4107,"Yes"
"851","S8647347",6520,"T08","9/09/13 9:19",100,100,100,100,80,100,100,80,100,100,100,100,NA,100,4541,"Yes"
"852","S8647411",6514,"T06","9/09/13 14:41",100,80,100,80,100,100,60,80,100,80,100,100,NA,100,4236,"Yes"
"853","S8647413",8309,"T17","17/09/13 13:14",80,80,60,80,80,100,80,80,100,60,60,100,NA,80,4502,"Yes"
"854","S8647435",8280,"T16","2/09/13 14:16",80,100,80,100,100,80,100,80,100,80,100,80,NA,100,4706,"Yes"
"855","S8647491",6592,"T13","9/09/13 14:41",80,80,60,80,80,80,80,80,20,20,60,80,NA,60,4108,"Yes"
"857","S8647547",7983,"T04","11/09/13 7:14",100,100,80,80,100,80,100,60,60,60,60,60,NA,80,4575,"Yes"
"858","S8647561",8260,"T17","17/09/13 13:14",80,100,100,80,100,100,60,100,100,100,80,100,NA,100,4333,"Yes"
"859","S8647569",8011,"N/A","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4373,"Yes"
"860","S8647569",8667,"T12","1/09/13 23:17",80,100,60,100,80,80,60,100,100,80,100,80,NA,80,4373,"Yes"
"861","S8647573",8535,"T03","15/09/13 15:07",80,100,100,100,80,80,80,60,60,80,80,80,NA,80,4365,"Yes"
"862","S8647581",8176,"T04","18/09/13 13:25",100,100,100,100,100,100,100,100,100,100,100,100,NA,100,4125,"Yes"
"863","S8647595",8463,"T05","16/09/13 14:07",100,100,100,80,80,100,80,60,60,60,60,100,NA,80,4451,"Yes"
"864","S8647609",8321,"T14","2/09/13 12:10",80,100,80,100,100,100,80,100,100,100,100,100,NA,100,4964,"Yes"
"865","S8647615",8006,"T10","12/09/13 10:54",80,40,80,100,100,60,80,60,80,80,100,80,NA,80,4383,"Yes"
